a,b,c,d,primitive,family
19,362,365,458,1,"B:Ramanujan(m,n)"
152,330,384,458,0,sporadic
204,314,384,458,0,sporadic
30,266,427,459,1,sporadic
51,306,408,459,0,sporadic
97,333,389,459,1,sporadic
160,326,387,459,1,sporadic
12,136,456,460,0,sporadic
30,360,370,460,0,"B:Ramanujan(m,n)"
123,136,453,460,1,sporadic
161,322,391,460,0,"B:Ramanujan(m,n)"
270,300,370,460,0,"B:Ramanujan(m,n)"
5,86,460,461,1,sporadic
112,204,446,462,0,sporadic
196,272,414,462,0,sporadic
206,280,408,462,0,sporadic
231,308,385,462,0,"A:(3,4,5,6)-multiple"
92,344,388,464,0,"B:Ramanujan(m,n)"
120,336,392,464,0,"B:Ramanujan(m,n)"
131,212,445,464,1,sporadic
170,214,440,464,0,sporadic
176,240,432,464,0,sporadic
49,122,462,465,1,sporadic
142,362,369,465,1,sporadic
160,270,425,465,0,sporadic
60,342,395,467,1,sporadic
52,312,416,468,0,sporadic
195,261,426,468,0,sporadic
234,312,390,468,0,"A:(3,4,5,6)-multiple"
246,250,416,468,0,sporadic
154,357,378,469,0,sporadic
108,326,408,470,0,sporadic
156,344,390,470,0,sporadic
192,326,396,470,0,sporadic
100,242,447,471,1,sporadic
191,354,376,471,1,sporadic
97,320,415,472,1,sporadic
111,148,465,472,1,sporadic
237,316,395,474,0,"A:(3,4,5,6)-multiple"
75,250,450,475,0,sporadic
76,323,418,475,0,sporadic
85,353,397,475,1,sporadic
115,366,384,475,1,sporadic
89,231,456,476,1,sporadic
294,314,372,476,0,sporadic
306,323,357,476,0,"B:Ramanujan(m,n)"
9,363,393,477,0,sporadic
53,318,424,477,0,sporadic
219,223,443,477,1,sporadic
261,306,396,477,0,sporadic
30,228,460,478,0,sporadic
46,356,400,478,0,sporadic
51,82,477,478,1,sporadic
64,75,477,478,1,sporadic
47,350,406,479,1,sporadic
109,293,437,479,1,sporadic
256,311,398,479,1,sporadic
36,220,464,480,0,sporadic
51,232,461,480,1,sporadic
95,265,450,480,0,sporadic
139,309,428,480,1,sporadic
168,336,408,480,0,"B:Ramanujan(m,n)"
207,369,372,480,0,sporadic
233,279,424,480,1,sporadic
240,320,400,480,0,"A:(3,4,5,6)-multiple"
191,332,409,482,1,"B:Ramanujan(m,n)"
226,248,440,482,0,sporadic
252,266,427,483,0,sporadic
109,170,475,484,1,sporadic
176,253,451,484,0,sporadic
196,336,408,484,0,sporadic
179,267,447,485,1,sporadic
225,345,395,485,0,sporadic
54,324,432,486,0,sporadic
108,171,477,486,0,sporadic
150,288,444,486,0,sporadic
177,279,444,486,0,sporadic
243,324,405,486,0,"A:(3,4,5,6)-multiple"
54,183,478,487,1,sporadic
20,89,487,488,1,sporadic
76,368,404,488,0,"B:Ramanujan(m,n)"
146,348,414,488,0,"B:Ramanujan(m,n)"
193,276,446,489,1,sporadic
268,362,369,489,1,sporadic
49,378,399,490,0,"B:Ramanujan(m,n)"
75,366,410,491,1,sporadic
24,204,480,492,0,sporadic
48,85,491,492,1,sporadic
72,384,396,492,0,sporadic
113,264,463,492,1,sporadic
114,360,414,492,0,"B:Ramanujan(m,n)"
149,336,427,492,1,sporadic
176,204,472,492,0,sporadic
190,279,449,492,1,sporadic
207,297,438,492,0,sporadic
226,332,414,492,0,"B:Ramanujan(m,n)"
243,358,389,492,1,sporadic
246,328,410,492,0,"A:(3,4,5,6)-multiple"
281,322,399,492,1,"B:Ramanujan(m,n)"
18,349,426,493,1,sporadic
118,160,485,493,1,sporadic
187,255,459,493,0,sporadic
78,260,468,494,0,sporadic
260,369,375,494,1,sporadic
55,330,440,495,0,sporadic
254,327,412,495,1,sporadic
57,82,495,496,1,sporadic
98,161,490,497,0,sporadic
8,114,496,498,0,sporadic
249,332,415,498,0,"A:(3,4,5,6)-multiple"
315,322,389,498,1,"B:Ramanujan(m,n)"
123,168,490,499,1,sporadic
42,329,447,500,1,sporadic
80,340,440,500,0,sporadic
82,119,497,500,1,sporadic
175,350,425,500,0,"B:Ramanujan(m,n)"
