a,b,c,d,primitive,family
56,106,150,168,0,sporadic
84,112,140,168,0,"A:(3,4,5,6)-multiple"
108,114,126,168,0,"B:Ramanujan(m,n)"
96,107,141,170,1,sporadic
100,122,128,170,0,sporadic
19,114,152,171,0,sporadic
27,90,162,171,0,sporadic
54,80,163,171,1,sporadic
107,108,136,171,1,sporadic
1,135,138,172,1,"B:Ramanujan(m,n)"
40,108,158,174,0,sporadic
45,126,147,174,0,"B:Ramanujan(m,n)"
47,97,162,174,1,sporadic
52,110,156,174,0,sporadic
66,90,162,174,0,sporadic
76,96,158,174,0,sporadic
87,116,145,174,0,"A:(3,4,5,6)-multiple"
28,119,154,175,0,sporadic
25,92,167,176,1,sporadic
42,86,168,176,0,sporadic
50,62,172,176,0,sporadic
64,92,164,176,0,sporadic
48,137,142,177,1,sporadic
34,80,172,178,0,sporadic
48,133,147,178,1,sporadic
17,57,177,179,1,sporadic
20,120,160,180,0,sporadic
50,76,174,180,0,sporadic
63,126,153,180,0,"B:Ramanujan(m,n)"
90,120,150,180,0,"A:(3,4,5,6)-multiple"
116,118,138,180,0,"B:Ramanujan(m,n)"
108,109,150,181,1,sporadic
12,144,148,184,0,"B:Ramanujan(m,n)"
108,120,148,184,0,"B:Ramanujan(m,n)"
57,68,180,185,1,sporadic
68,113,166,185,1,sporadic
18,121,167,186,1,sporadic
64,108,170,186,0,sporadic
93,124,155,186,0,"A:(3,4,5,6)-multiple"
58,131,160,187,1,sporadic
115,122,149,188,1,"B:Ramanujan(m,n)"
21,46,188,189,1,sporadic
21,126,168,189,0,sporadic
30,100,180,190,0,sporadic
56,133,163,190,1,sporadic
39,146,156,191,1,sporadic
34,123,173,192,1,sporadic
38,106,180,192,0,sporadic
96,128,160,192,0,"A:(3,4,5,6)-multiple"
25,68,190,193,1,sporadic
90,138,158,194,0,sporadic
126,133,147,196,0,"B:Ramanujan(m,n)"
53,58,194,197,1,sporadic
22,132,176,198,0,sporadic
27,46,197,198,1,sporadic
73,135,170,198,1,sporadic
99,132,165,198,0,"A:(3,4,5,6)-multiple"
6,127,180,199,1,sporadic
32,136,176,200,0,sporadic
70,140,170,200,0,"B:Ramanujan(m,n)"
45,53,199,201,1,sporadic
66,153,162,201,0,sporadic
76,141,171,202,1,sporadic
85,138,171,202,1,"B:Ramanujan(m,n)"
77,105,189,203,0,sporadic
81,147,167,203,1,sporadic
102,136,170,204,0,"A:(3,4,5,6)-multiple"
10,85,200,205,0,sporadic
30,160,165,205,0,sporadic
108,142,165,205,1,sporadic
5,163,164,206,1,"B:Ramanujan(m,n)"
24,62,204,206,0,sporadic
35,77,202,206,1,sporadic
23,138,184,207,0,sporadic
108,114,183,207,0,sporadic
33,110,198,209,0,sporadic
57,146,180,209,1,sporadic
113,146,166,209,1,sporadic
21,162,171,210,0,"B:Ramanujan(m,n)"
42,83,205,210,1,sporadic
66,140,184,210,0,sporadic
105,140,175,210,0,"A:(3,4,5,6)-multiple"
116,136,176,212,0,sporadic
42,69,210,213,0,sporadic
56,61,210,213,1,sporadic
16,51,213,214,1,sporadic
58,157,179,214,1,sporadic
24,144,192,216,0,sporadic
26,102,208,216,0,sporadic
30,164,178,216,0,"B:Ramanujan(m,n)"
48,76,212,216,0,sporadic
102,117,195,216,0,sporadic
108,144,180,216,0,"A:(3,4,5,6)-multiple"
46,126,201,217,1,sporadic
93,155,180,218,1,sporadic
140,151,161,218,1,"B:Ramanujan(m,n)"
50,67,216,219,1,sporadic
51,152,190,219,1,sporadic
67,167,177,219,1,sporadic
108,163,170,219,1,sporadic
58,150,192,220,0,sporadic
77,154,187,220,0,"B:Ramanujan(m,n)"
80,115,205,220,0,sporadic
32,94,216,222,0,sporadic
111,148,185,222,0,"A:(3,4,5,6)-multiple"
144,152,168,224,0,"B:Ramanujan(m,n)"
25,150,200,225,0,sporadic
31,95,219,225,1,sporadic
36,153,198,225,0,sporadic
114,129,198,225,0,sporadic
